SAMU;Jour Semaine;DATE;Heures;Nombre total d'appels Nb Entrant Ext;Nombre total d'appels Nb Sortant Ext;Nombre total d'appels Nb Entrant Int;Nombre total d'appels Nb Sortant Int;Nombre total d'appels Nb Double Appels Effectué;Nombre total d'appels Nb Double Appels Arrivé;Nombre total d'appels Nb Transfert Effectué;Nombre total d'appels Nb Transfert Arrivé;Nombre total d'appels Nb Conférence;Nombre total d'appels Nb Rona;Temps total en communication Tps Entrant;Temps total en communication Tps Sortant;Temps total en communication Tps Interne;Temps total en communication Tps mise en attente;Temps total en communication Tps en double appels;Temps total en communication Total h/h;Temps total par états Logué;Temps total par états Disponible;Temps total par états Pause Admin;Temps total par états Indisponible;Temps total par états Retrait;Temps total par états Fermeture position;Temps total par états Autres retraits;Temps total par états En communication;Temps moyen en communication Temps moyen en s;Pourcentage en communication % en com;Nb Agents Logués Nb Moy Agents horaire;Nb Agents Logués Nb Moy Agents pas en retrait;Nombre d'appels Entrés;Nombre d'appels Distribués;Nombre d'appels Répondus;Nombre d'appels distribué en X secondes 20s;Nombre d'appels distribué en X secondes 60s;Nombre d'appels distribué en X secondes 61 sec et +;Temps d'attente Total avant réponse;Temps d'attente Moy avant réponse en s;Temps d'attente Max avant réponse;QOS Nouvelle QOS 20s;QOS Nouvelle QOS 60s;Abandons Abandons 0-15s;Abandons Abandons 0-40s;Abandons Abandons 41s et +;Abandons Total Abandons;Efficacite Eff sans abandons 15s;Efficacite Eff sans abandons 40s;Abandons Abandons 15s et +;Appel à traiter;Ratio-AAT/ARM;Ratio TOL;Ratio ARMATT;Ratio QOS
S75;Vendredi;01/01/2021 00:00;0:00;39;36;1;1;21;2;18;0;2;3;01:22:11;00:44:32;00:01:41;00:29:03;00:11:05;2,32;09:08:09;04:56:59;00:00:00;01:03:25;00:12:45;00:43:41;00:06:59;02:19:29;70,92;25,45;9,14;8,08;46;37;31;15;31;6;00:11:01;17,86;00:00:38;48,39;100;9;9;6;15;83,78;83,78;6;37;4,048140044;1,178781925;1,482162162;1,111111111
S75;Vendredi;01/01/2021 01:00;1:00;33;18;2;5;11;5;26;1;3;0;01:05:56;00:33:58;00:03:49;00:08:58;00:12:03;1,93;08:59:42;06:06:22;00:00:15;00:44:43;00:23:53;00:15:45;00:05:05;01:55:46;68,77;21,45;8,99;8,25;33;25;23;14;23;2;00:08:09;19,56;00:00:37;60,87;100;8;8;2;10;92;92;2;25;2,780867631;1,398601399;2,1576;1,111111111
S75;Vendredi;01/01/2021 02:00;2:00;18;9;0;0;12;2;9;0;2;2;00:54:15;00:11:28;00:00:00;00:11:34;00:07:37;1,22;09:00:00;06:33:50;00:00:00;00:56:32;00:05:45;00:47:14;00:03:33;01:13:20;88;13,58;9;8,06;19;15;13;8;13;2;00:04:23;17,53;00:00:38;61,54;100;4;4;2;6;86,67;86,67;2;15;1,666666667;2,209131075;3,6;1,111111111
S75;Vendredi;01/01/2021 03:00;3:00;24;20;0;0;7;0;8;0;0;4;00:48:01;00:34:46;00:00:00;00:03:25;00:06:04;1,48;08:59:49;05:33:06;00:00:00;01:44:00;00:18:07;01:21:01;00:04:52;01:28:51;90,36;16,46;9;7,26;23;22;20;14;20;2;00:05:27;14,86;00:00:26;70;100;1;1;1;2;90,91;90,91;1;22;2,444444444;1,822600243;2,454545455;1,111111111
S75;Vendredi;01/01/2021 04:00;4:00;19;14;2;0;12;4;10;4;0;1;00:43:42;00:37:45;00:01:11;00:13:56;00:13:49;1,61;09:00:00;05:49:57;00:00:00;01:16:05;00:12:57;01:00:01;00:03:07;01:36:27;89,03;17,86;9;7,73;18;15;14;4;14;1;00:05:05;20,33;00:00:31;28,57;100;3;3;2;5;93,33;93,33;2;15;1,666666667;1,679731243;3,6;1,111111111
S75;Vendredi;01/01/2021 05:00;5:00;23;15;1;3;9;2;8;1;1;0;01:05:05;00:19:31;00:04:22;00:16:38;00:07:25;1,61;09:00:00;06:09:24;00:00:00;00:45:12;00:23:04;00:17:52;00:04:16;01:36:23;93,27;17,85;9;8,25;30;22;21;8;21;1;00:07:17;19,86;00:00:31;38,1;100;8;8;1;9;95,45;95,45;1;22;2,444444444;1,680672269;2,454545455;1,111111111
S75;Vendredi;01/01/2021 06:00;6:00;19;7;0;1;13;4;11;1;2;4;00:39:01;00:09:32;00:02:42;00:15:03;00:13:39;1,08;08:36:50;06:06:58;00:00:00;01:08:47;00:21:44;00:35:29;00:11:34;01:04:54;69,54;12,56;8,61;7,47;16;12;11;7;11;1;00:03:20;16,67;00:00:39;63,64;100;4;4;1;5;91,67;91,67;1;12;1,393728223;2,388535032;4,305;1,111111111
S75;Vendredi;01/01/2021 07:00;7:00;19;21;3;4;8;4;12;2;2;2;00:35:05;00:24:39;00:03:01;00:09:48;00:04:50;1,13;07:58:36;06:11:21;00:00:00;00:17:15;00:01:03;00:10:14;00:05:58;01:07:35;55,55;14,12;7,98;7,69;17;13;12;3;12;1;00:04:28;20,62;00:00:30;25;100;4;4;1;5;92,31;92,31;1;13;1,629072682;2,124645892;3,683076923;1,111111111
S75;Vendredi;01/01/2021 08:00;8:00;52;35;0;2;20;2;22;2;0;7;01:31:43;01:14:38;00:01:50;00:13:39;00:12:15;3,01;08:00:00;03:58:52;00:00:01;00:29:25;00:04:06;00:17:39;00:07:40;03:00:26;80,19;37,59;8;7,51;39;34;30;14;26;8;00:16:18;28,76;00:02:45;46,67;86,67;5;5;4;9;88,24;88,24;4;34;4,25;0,798084597;1,411764706;0,963
S75;Vendredi;01/01/2021 09:00;9:00;41;26;1;2;18;0;19;0;1;0;01:26:49;00:46:17;00:00:29;00:16:08;00:15:34;2,49;08:00:00;04:25:34;00:00:00;00:37:56;00:00:13;00:30:51;00:06:52;02:29:09;83,64;31,07;8;7,37;38;28;28;8;27;1;00:12:19;26,39;00:02:34;28,57;96,43;9;9;0;9;96,55;96,55;0;29;3,625;0,965561635;1,655172414;1,071444444
